Code,Updated name,E1,E2,E3,P,Total reports,FES,References
2293,Russula polyphylla,1,0,0,0,1,E1,"(Seok, Jin, Kwon, Kim, & Kim, 2013)"
2294,Russula prinophila,0,0,1,0,1,E3,"(Gennari, 2000)"
2295,Russula pseudoaeruginea,1,0,0,0,1,E1,"(Mao, 2000)"
2296,Russula pseudoamaendum,1,0,0,0,1,E1,"(Sillitoe, 1995)"
2297,Russula pseudodelica,2,0,0,0,2,E1,"(Mao, 2000; Wu, et al., 2019)"
2298,Russula pseudointegra,2,0,1,0,3,E1,"(Hongo & Izawa, 1994; Mao, 2000; Wu, et al., 2019)"
2299,Russula pseudo-olivascens,1,0,0,0,1,E1,"(Gerhardt, 2001)"
2300,Russula pseudopurpurea,1,0,0,0,1,E1,"(Yorou & De-Kesel, 2002)"
2301,Russula pseudoromellii,1,0,0,0,1,E1,"(Wu, et al., 2019)"
2302,Russula pseudostriatoviridis,1,0,0,0,1,E1,"(Rammeloo & Walleyn, 1993)"
2303,Russula puellaris,7,0,0,0,7,E1,"(Das, 2009; Gerhardt, 2001; Laessoe & del-Conte, 1996; Mao, 2000; Wu, et al., 2019)"
2304,Russula purpurina,1,0,0,0,1,E1,"(Wu, et al., 2019)"
2305,Russula queletii,1,0,0,0,1,E1,"(Zamora-Martinez, Reygadas, & Cifuentes, 1994)"
2306,Russula risigallina,9,0,0,0,9,E1,"(Gennari, 2000; Gerhardt, 2001; Secretariat of Environment and Natural Resources, 2020; Sáenz, Lizano, & Nassar, 1983; Sergeeva, 2000; Verma, Pandro, & Pyasi, 2017; Villarreal & Perez-Moreno, 1989a; Wu, et al., 2019)"
2307,Russula romagnesiana,1,0,0,0,1,E1,"(Montoya-Esquivel, Estrada-Torres, Kong, & Juarez-Sanchez, 2001)"
2308,Russula romellii,1,0,0,0,1,E1,"(Wu, et al., 2019)"
2309,Russula rosea,14,1,2,0,17,E2,"(Cooke, 1891; Gennari, 2000; Gerhardt, 2001; Hongo & Izawa, 1994; Jones, Whalley, & Hywel-Jones, 1994; Podgornik, 2005; Purkayastha & Chandra, 1985; Rammeloo & Walleyn, 1993; Sáenz, Lizano, & Nassar, 1983; Secretariat of Environment and Natural Resources, 2020; Semwal, Stephenson, Bhatt, & Bhatt, 2014; Villarreal & Perez-Moreno, 1989a; Wang, Liu, & Yu, 2004; Wu, et al., 2019; Zerova & Rozhenko, 1988)"
2310,Russula roseicolor,1,0,0,0,1,E1,"(Galli, 1996)"
2311,Russula roseipes,1,0,0,0,1,E1,"(Wu, et al., 2019)"
2312,Russula roseoalba,1,0,0,0,1,E1,"(Rammeloo & Walleyn, 1993)"
2313,Russula roseostriata,1,0,0,0,1,E1,"(Rammeloo & Walleyn, 1993)"
2314,Russula roseovelata,1,0,0,0,1,E1,"(Härkönen, Niemelä, & Mwasumbi, 2003)"
2315,Russula roseoviolacea,1,0,0,0,1,E1,"(Härkönen, Niemelä, & Mwasumbi, 2003)"
2316,Russula rubescens,2,0,1,0,3,E1,"(Hongo & Izawa, 1994; Mao, 2000; Wu, et al., 2019)"
2317,Russula rubra,2,0,0,0,2,E1,"(Seok, Jin, Kwon, Kim, & Kim, 2013; Wu, et al., 2019)"
2318,Russula rubroalba,2,0,0,0,2,E1,"(Gennari, 2000; Montoya-Esquivel, 1998)"
2319,Russula sanguinaria,6,0,3,1,10,U,"(Chang & Mao, 1995; El'chibaev, 1964; Hongo & Izawa, 1994; Jones, Whalley, & Hywel-Jones, 1994; Mao, 2000; Mendoza, 1938; Wang & Liu, 2002; Wu, et al., 2019; Yamada, 2002; Zerova & Rozhenko, 1988)"
2320,Russula sanguinea,1,0,0,0,1,E1,"(Moreno-Solis, 2018)"
2321,Russula sardonia,2,0,1,1,4,P,"(El'chibaev, 1964; Laessoe & del-Conte, 1996; Wu, et al., 2019; Zerova & Rozhenko, 1988)"
2322,Russula schizoderma,1,0,0,0,1,E1,"(Rammeloo & Walleyn, 1993)"
2323,Russula senecis,2,0,0,1,3,U,"(Chang & Mao, 1995; Hongo & Izawa, 1994; Khatua & Acharya, 2017; Mao, 2000; Wu, et al., 2019)"
2324,Russula sese,1,0,0,0,1,E1,"(Rammeloo & Walleyn, 1993)"
2325,Russula sesenagula,1,0,0,0,1,E1,"(Rammeloo & Walleyn, 1993)"
2326,Russula striatoviridis,1,0,0,0,1,E1,"(Rammeloo & Walleyn, 1993)"
2327,Russula subdepallens,2,0,0,0,2,E1,"(Mao, 2000; Wu, et al., 2019)"
2328,Russula subfragiliformis,2,0,0,0,2,E1,"(Galli, 1996; Lalrinawmi, Vabeikhokhei, & Zothanzama, 2017)"
2329,Russula sublaevis,1,0,0,0,1,E1,"(Härkönen, Saarimäki, & Mwasumbi, 1994)"
2330,Russula sublevispora,1,0,0,0,1,E1,"(Galli, 1996)"
2331,Russula subterfurcata,1,0,0,0,1,E1,"(Galli, 1996)"
2332,Russula tanzaniae,1,0,0,0,1,E1,"(Härkönen, Saarimäki, & Mwasumbi, 1994c)"
2333,Russula testacea,1,0,0,0,1,E1,"(Yorou & De-Kesel, 2002)"
2334,Russula turci,4,0,0,0,4,E1,"(Gerhardt, 2001; Laessoe & del-Conte, 1996; Mao, 2000; Wu, et al., 2019)"
2335,Russula velenovskyi,3,0,0,0,3,E1,"(Gerhardt, 2001; Mao, 2000; Wu, et al., 2019)"
